SerialNo,CustomerID,CustomerName,Age,Gender,City,SubscriptionType,MonthlySpending,Tenure,NumberOfPurchases,CustomerSupportRequests,LoginFrequency,LastActivityDate,SatisfactionScore,ChurnStatus
34,CUST0034,Naveed Iqbal,36.0,Male,Quetta,Basic,422.7,60,91,3,14.0,2026-05-03,,0
35,CUST0035,Nadia Sheikh,24.0,Female,Lahore,Standard,1056.15,11,15,0,17.0,2026-05-21,5.0,0
36,CUST0036,Farida Ahmed,41.0,Female,Gujranwala,Standard,1432.93,3,8,0,23.0,2026-01-22,3.0,0
37,CUST0037,Omer Siddiqui,38.0,Male,Sargodha,Premium,1951.33,8,16,1,15.0,2026-04-19,3.5,0
38,CUST0038,Shahid Hashmi,31.0,Male,Islamabad,Standard,816.21,2,5,0,16.0,2026-04-18,,1
39,CUST0039,Usman Hashmi,49.0,Male,Sargodha,Premium,2533.76,14,22,1,25.0,2026-05-25,4.4,0
40,CUST0040,Shahid Khan,47.0,Male,Lahore,Enterprise,3241.26,8,11,3,21.0,2026-03-04,3.8,0
41,CUST0041,Junaid Rana,18.0,Male,Quetta,Basic,494.45,11,14,1,7.0,2026-05-20,4.0,0
42,CUST0042,Hamza Baig,34.0,Male,Karachi,Enterprise,5955.14,19,23,0,11.0,2026-05-27,2.7,0
43,CUST0043,Rabia Ansari,18.0,Female,Bahawalpur,Enterprise,,8,12,0,18.0,2026-05-30,4.7,0
44,CUST0044,Hina Chaudhry,33.0,Female,Faisalabad,Basic,477.9,29,49,1,30.0,2026-05-19,3.2,0
45,CUST0045,Faraz Ahmed,54.0,Male,Karachi,Standard,1140.23,1,1,3,25.0,2026-05-24,1.0,1
46,CUST0046,Ali Bhatti,25.0,Male,Lahore,Premium,1788.87,1,1,1,16.0,2026-04-28,4.4,1
47,CUST0047,Kamran Baig,34.0,Male,Lahore,Enterprise,6479.94,1,3,0,8.0,2026-05-01,2.1,0
48,CUST0048,Adnan Ali,18.0,Male,Peshawar,Standard,1425.91,60,93,0,11.0,2026-05-27,2.9,0
49,CUST0049,Amna Chaudhry,27.0,Female,Gujranwala,Premium,2068.0,3,5,4,18.0,2026-03-14,2.5,1
50,CUST0050,Hina Qureshi,59.0,Female,Quetta,Basic,661.96,5,6,2,14.0,2026-05-10,2.3,0
51,CUST0051,Ahmed Hashmi,33.0,Male,Sialkot,Enterprise,4592.54,2,2,3,9.0,2026-05-17,5.0,0
52,CUST0052,Shahid Chaudhry,41.0,Male,Hyderabad,Basic,479.7,31,65,2,15.0,2026-05-07,3.3,0
53,CUST0053,Kamran Mirza,33.0,Male,Faisalabad,Basic,511.37,28,36,1,17.0,2026-05-19,5.0,0
54,CUST0054,Rida Bhatti,31.0,Female,Karachi,Standard,1427.43,30,44,2,3.0,2026-03-25,3.5,1
55,CUST0055,Bilal Raja,44.0,Male,Lahore,Premium,1394.43,42,66,3,18.0,2026-05-10,4.7,0
56,CUST0056,Tariq Qureshi,37.0,Male,Sialkot,Basic,524.82,2,3,3,24.0,2026-05-28,3.1,0
57,CUST0057,Saima Rana,44.0,Female,Faisalabad,Enterprise,4077.83,22,35,2,2.0,2026-05-14,5.0,0
58,CUST0058,Junaid Raja,37.0,Male,Karachi,Basic,764.36,17,35,3,28.0,2026-05-16,4.8,0
59,CUST0059,Maria Hashmi,37.0,Female,Hyderabad,Premium,2550.05,46,68,2,30.0,2026-05-17,4.0,0
60,CUST0060,Usman Malik,33.0,Male,Hyderabad,Basic,457.31,29,41,2,12.0,2026-05-25,5.0,0
61,CUST0061,Junaid Malik,21.0,Male,Karachi,Basic,485.1,3,6,1,9.0,2025-12-10,3.3,0
62,CUST0062,Saad Chaudhry,65.0,Male,Gujranwala,Basic,505.92,1,1,2,14.0,2026-05-08,3.0,1
63,CUST0063,Rida Malik,51.0,Female,Larkana,Enterprise,2340.65,10,14,1,5.0,2026-05-02,2.7,0
64,CUST0064,Junaid Khan,30.0,Male,Islamabad,Premium,2465.21,3,3,2,15.0,2026-05-27,3.4,0
65,CUST0065,Sara Raja,20.0,Female,Islamabad,Premium,2856.5,1,1,4,19.0,2026-06-01,3.2,1
66,CUST0066,Asad Hussain,18.0,Male,Rawalpindi,Premium,3382.34,40,68,1,4.0,2026-05-03,4.1,0
67,CUST0067,Sara Hussain,49.0,Female,Karachi,Standard,679.23,10,18,4,30.0,2026-05-24,4.2,0
68,CUST0068,Sana Raja,37.0,Female,Multan,Standard,1155.84,60,91,1,3.0,2026-05-08,4.1,0
69,CUST0069,Fatima Sheikh,47.0,Female,Larkana,Enterprise,5472.6,4,1,5,13.0,2026-05-18,4.3,0
70,CUST0070,Ayesha Sheikh,27.0,Female,Sialkot,Standard,1206.26,3,3,1,24.0,2026-05-22,2.6,0
71,CUST0071,Mehwish Nawaz,23.0,Female,Hyderabad,Basic,763.24,19,39,1,19.0,2026-05-31,2.0,0
72,CUST0072,Tariq Ahmed,65.0,Male,Bahawalpur,Standard,1176.95,7,13,0,14.0,2026-04-28,5.0,0
73,CUST0073,Saad Ansari,18.0,Male,Lahore,Enterprise,4599.62,30,51,2,5.0,2026-05-09,3.3,0
74,CUST0074,Zara Qureshi,39.0,Female,Hyderabad,Basic,561.06,29,47,2,18.0,2026-05-27,3.7,0
75,CUST0075,Rabia Javed,44.0,Female,Islamabad,Basic,513.38,1,1,6,5.0,2026-05-29,4.0,0
76,CUST0076,Maria Nawaz,37.0,Female,Sialkot,Basic,452.13,7,13,2,22.0,2026-03-28,2.0,1
77,CUST0077,Imran Qureshi,18.0,Male,Rawalpindi,Standard,1340.52,1,1,5,11.0,2026-05-13,4.9,0
78,CUST0078,Farida Hashmi,46.0,Female,Quetta,Standard,1275.33,60,98,2,12.0,2026-05-22,2.7,0
79,CUST0079,Usman Qureshi,22.0,Male,Hyderabad,Standard,1015.73,1,0,3,21.0,2026-03-07,3.3,0
80,CUST0080,Kamran Qureshi,62.0,Male,Rawalpindi,Premium,2168.05,3,6,1,18.0,2026-05-20,2.9,1
81,CUST0081,Kamran Rana,52.0,Male,Sialkot,Premium,2214.63,21,25,1,30.0,2026-05-06,4.4,0
82,CUST0082,Lubna Chaudhry,27.0,Female,Bahawalpur,Standard,1106.95,39,66,1,2.0,2026-05-23,2.2,1
83,CUST0083,Bilal Khan,34.0,Male,Larkana,Premium,3397.28,1,0,1,14.0,2026-05-13,4.7,0
84,CUST0084,Junaid Hussain,49.0,Male,Islamabad,Premium,2671.57,7,12,3,20.0,2026-04-27,4.0,0
85,CUST0085,Ayesha Javed,47.0,Female,Rawalpindi,Enterprise,6531.69,25,46,1,23.0,2026-05-27,2.7,0
86,CUST0086,Waqar Bhatti,40.0,Male,Hyderabad,Standard,1296.1,12,20,3,16.0,2026-02-23,5.0,0
87,CUST0087,Rida Bhatti,49.0,Female,Peshawar,Premium,1779.25,48,77,2,2.0,2026-05-03,4.5,0
88,CUST0088,Asad Hashmi,28.0,Male,Faisalabad,Premium,2688.61,25,34,3,6.0,2026-04-15,3.3,0
89,CUST0089,Saima Rana,22.0,Female,Gujranwala,Basic,570.84,1,2,2,14.0,2026-05-02,4.1,0
90,CUST0090,Sara Raja,,Female,Multan,Basic,430.81,60,87,1,15.0,2026-05-19,,0
91,CUST0091,Bilal Hussain,34.0,Male,Peshawar,Standard,1468.15,60,80,5,23.0,2026-05-13,4.0,0
92,CUST0092,Junaid Ansari,26.0,Male,Multan,Standard,1632.23,4,5,1,13.0,2026-05-13,2.8,0
93,CUST0093,Junaid Baig,18.0,Male,Larkana,Premium,2880.21,21,23,2,25.0,2026-05-08,4.4,0
94,CUST0094,Naveed Baig,24.0,Male,Quetta,Basic,503.77,7,9,3,24.0,2026-06-01,4.4,0
95,CUST0095,Mehwish Javed,56.0,Female,Bahawalpur,Premium,2678.96,36,59,2,15.0,2026-04-12,4.5,0
96,CUST0096,Asad Hussain,59.0,Male,Faisalabad,Standard,1034.59,13,23,0,10.0,2026-04-01,3.0,1
97,CUST0097,Saba Butt,22.0,Female,Sukkur,Standard,1072.97,28,45,2,7.0,2026-04-28,4.1,0
98,CUST0098,Omer Iqbal,31.0,Male,Sialkot,Standard,799.54,36,59,2,16.0,2026-05-15,4.5,0
99,CUST0099,Hina Hashmi,33.0,Female,Islamabad,Basic,678.08,37,67,3,25.0,2026-04-23,4.9,0
100,CUST0100,Waqar Siddiqui,39.0,Male,Multan,Premium,2157.19,43,56,3,18.0,2026-05-15,3.1,0
101,CUST0101,Amna Ali,18.0,Female,Quetta,Basic,523.52,16,18,3,11.0,2026-02-16,3.8,0
102,CUST0102,Sara Ali,18.0,Female,Sargodha,Enterprise,4727.6,1,0,3,19.0,2026-04-26,2.1,1
103,CUST0103,Kamran Chaudhry,30.0,Male,Sukkur,Basic,465.07,1,3,3,12.0,2026-05-31,2.9,1
104,CUST0104,Asad Sheikh,,Male,Sialkot,Enterprise,5051.95,1,0,2,10.0,2026-05-28,3.5,0
105,CUST0105,Noor Butt,45.0,Female,Sialkot,Standard,1283.16,10,15,1,8.0,2026-04-29,4.1,0
106,CUST0106,Hamza Qureshi,27.0,Male,Lahore,Standard,,36,46,6,22.0,2026-05-25,4.7,0
107,CUST0107,Saba Chaudhry,21.0,Female,Lahore,Standard,1591.47,18,19,1,14.0,2026-04-01,3.8,0
108,CUST0108,Hassan Qureshi,39.0,Male,Sukkur,Standard,1544.44,24,44,3,12.0,2026-04-11,4.9,0
109,CUST0109,Saad Javed,36.0,Male,Peshawar,Standard,953.12,1,1,2,4.0,2026-05-18,3.2,1
110,CUST0110,Fatima Ansari,54.0,Female,Sukkur,Standard,1442.36,17,25,3,6.0,2026-05-17,2.0,0
111,CUST0111,Farida Malik,47.0,Female,Peshawar,Basic,743.98,16,31,1,13.0,2026-05-29,4.1,0
112,CUST0112,Rida Javed,18.0,Female,Sargodha,Standard,1176.4,6,9,1,27.0,2026-05-29,3.7,0
113,CUST0113,Iqra Hussain,18.0,Female,Sukkur,Enterprise,5440.47,59,88,1,18.0,2026-05-05,3.6,0
114,CUST0114,Sara Hashmi,35.0,Female,Sialkot,Standard,1209.74,4,8,3,9.0,2026-05-06,5.0,0
115,CUST0115,Asad Siddiqui,41.0,Male,Islamabad,Standard,1023.62,35,46,0,23.0,2026-05-09,5.0,0
116,CUST0116,Iqra Raja,28.0,Female,Larkana,Standard,871.25,16,18,2,18.0,2026-05-23,5.0,0
117,CUST0117,Rizwan Chaudhry,21.0,Male,Lahore,Basic,428.87,7,8,3,23.0,2025-12-29,2.3,1
118,CUST0118,Asad Rana,43.0,Male,Quetta,Premium,3473.27,23,34,2,8.0,2026-05-09,4.1,0
119,CUST0119,Omer Hussain,33.0,Male,Faisalabad,Standard,983.06,25,35,3,15.0,2026-04-07,4.3,0
120,CUST0120,Mehwish Javed,62.0,Female,Multan,Basic,539.33,1,1,3,7.0,2026-05-19,2.6,0
121,CUST0121,Amna Hussain,18.0,Female,Lahore,Premium,2754.0,9,13,5,11.0,2026-03-30,4.7,1
122,CUST0122,Zubair Chaudhry,38.0,Male,Bahawalpur,Standard,1277.21,28,38,1,7.0,2026-02-10,4.8,0
123,CUST0123,Zara Chaudhry,48.0,Female,Faisalabad,Basic,547.47,2,5,2,10.0,2026-06-01,3.3,1
124,CUST0124,Shahid Malik,41.0,Male,Faisalabad,Basic,505.4,10,13,1,6.0,2026-05-04,4.1,1
125,CUST0125,Hina Rana,23.0,Female,Lahore,Premium,2708.6,1,2,1,11.0,2026-05-29,3.1,0
126,CUST0126,Uzma Hashmi,27.0,Female,Multan,Basic,469.75,21,20,4,0.0,2026-05-28,4.4,1
127,CUST0127,Zara Ali,33.0,Female,Peshawar,Standard,1437.45,3,5,2,21.0,2026-05-28,2.7,0
128,CUST0128,Bilal Malik,18.0,Male,Sargodha,Standard,1244.01,1,2,2,1.0,2026-04-07,5.0,1
129,CUST0129,Hassan Javed,34.0,Male,Sargodha,Standard,976.02,2,3,3,22.0,2026-05-15,2.4,1
130,CUST0130,Rizwan Baig,43.0,Male,Quetta,Enterprise,4512.09,1,3,3,,2026-04-22,3.6,0
131,CUST0131,Rabia Iqbal,59.0,Female,Sialkot,Basic,513.65,1,0,1,5.0,2026-05-20,2.5,0
132,CUST0132,Zubair Chaudhry,43.0,Male,Faisalabad,Standard,1477.88,3,3,1,21.0,2026-05-03,2.7,0
133,CUST0133,Shahid Ali,19.0,Male,Islamabad,Basic,449.75,2,4,4,25.0,2026-04-12,4.0,0
134,CUST0134,Rabia Ahmed,24.0,Female,Rawalpindi,Basic,535.92,7,16,2,19.0,2026-05-24,3.6,0
135,CUST0135,Sana Hussain,32.0,Female,Larkana,Basic,472.32,39,62,5,23.0,2026-04-23,3.4,0
136,CUST0136,Junaid Sheikh,42.0,Male,Hyderabad,Basic,617.35,3,4,0,20.0,2026-05-25,4.1,1
137,CUST0137,Hina Ali,,Female,Karachi,Basic,,23,35,2,20.0,2026-05-02,3.9,0
138,CUST0138,Farida Sheikh,27.0,Female,Quetta,Standard,1314.74,11,10,2,20.0,2026-05-26,4.9,0
139,CUST0139,Saima Javed,49.0,Female,Quetta,Standard,1053.65,14,19,1,9.0,2026-04-24,1.4,0
140,CUST0140,Iqra Nawaz,37.0,Female,Faisalabad,Basic,593.26,8,11,0,4.0,2026-04-15,4.8,1
141,CUST0141,Tariq Iqbal,37.0,Male,Karachi,Premium,2082.12,11,18,3,22.0,2026-05-23,4.1,0
142,CUST0142,Amna Butt,34.0,Female,Sialkot,Standard,1514.98,1,0,4,7.0,2026-05-21,3.3,0
143,CUST0143,Asad Mirza,24.0,Male,Peshawar,Basic,486.48,4,10,2,11.0,2026-05-20,2.4,0
144,CUST0144,Faraz Ansari,28.0,Male,Bahawalpur,Standard,1385.15,13,17,1,18.0,2026-05-14,3.0,0
145,CUST0145,Asma Ahmed,21.0,Female,Quetta,Basic,494.84,1,2,2,8.0,2026-04-21,3.8,1
146,CUST0146,Omer Bhatti,39.0,Male,Sukkur,Enterprise,5121.51,1,0,1,17.0,2026-05-24,3.3,0
147,CUST0147,Mehwish Ahmed,45.0,Female,Rawalpindi,Standard,1007.24,10,18,1,15.0,2026-05-17,2.4,0
148,CUST0148,Farida Ahmed,43.0,Female,Rawalpindi,Basic,471.87,1,4,1,20.0,2026-05-26,2.2,1
149,CUST0149,Farida Rana,19.0,Female,Lahore,Basic,741.48,60,93,0,12.0,2026-05-24,,0
150,CUST0150,Hamza Qureshi,37.0,Male,Hyderabad,Basic,614.86,13,23,2,7.0,2026-05-27,1.0,0
151,CUST0151,Hassan Hashmi,29.0,Male,Lahore,Standard,1682.4,9,15,0,24.0,2026-05-14,3.6,0
152,CUST0152,Saima Raja,27.0,Female,Peshawar,Premium,2100.4,3,7,3,,2026-03-22,2.8,0
153,CUST0153,Waqar Javed,32.0,Male,Islamabad,Basic,819.31,2,5,2,28.0,2026-04-15,4.6,0
154,CUST0154,Usman Raja,44.0,Male,Sargodha,Premium,2404.09,13,14,4,11.0,2026-03-26,3.0,1
155,CUST0155,Fatima Qureshi,,Female,Bahawalpur,Basic,542.36,10,16,6,7.0,2026-03-29,3.9,1
156,CUST0156,Hina Hashmi,20.0,Female,Hyderabad,Standard,1138.74,1,2,1,9.0,2026-04-04,4.1,0
157,CUST0157,Farida Siddiqui,37.0,Female,Sukkur,Basic,631.76,22,30,2,24.0,2026-05-20,3.5,0
158,CUST0158,Sara Ansari,41.0,Female,Karachi,Basic,416.01,31,36,1,26.0,2026-05-01,3.2,0
159,CUST0159,Saba Malik,18.0,Female,Quetta,Enterprise,6243.85,33,52,3,16.0,2026-05-25,3.2,0
160,CUST0160,Zara Hashmi,28.0,Female,Lahore,Standard,1386.61,18,30,1,18.0,2026-04-01,3.7,0
161,CUST0161,Junaid Malik,43.0,Male,Lahore,Standard,1360.19,19,31,0,3.0,2026-04-03,1.2,0
162,CUST0162,Rida Baig,18.0,Female,Gujranwala,Basic,584.74,60,76,0,17.0,2026-05-23,3.7,0
163,CUST0163,Iqra Rana,29.0,Female,Sukkur,Standard,1380.14,43,71,0,21.0,2026-05-23,,0
164,CUST0164,Imran Hussain,39.0,Male,Bahawalpur,Basic,683.82,1,1,2,7.0,2026-04-22,2.4,0
165,CUST0165,Waqar Butt,40.0,Male,Bahawalpur,Basic,589.91,16,31,0,20.0,2026-05-31,2.9,1
166,CUST0166,Ayesha Qureshi,,Female,Multan,Basic,616.19,1,2,0,16.0,2026-04-09,,1
167,CUST0167,Lubna Butt,37.0,Female,Islamabad,Basic,600.1,13,19,4,26.0,2026-05-06,,0
168,CUST0168,Rida Hussain,22.0,Female,Quetta,Enterprise,5782.87,12,12,4,30.0,2026-05-30,3.6,0
169,CUST0169,Amna Hashmi,26.0,Female,Faisalabad,Standard,883.19,11,7,2,5.0,2026-05-04,3.4,0
170,CUST0170,Rabia Javed,24.0,Female,Islamabad,Basic,433.06,13,15,0,22.0,2026-05-07,2.9,0
171,CUST0171,Mehwish Raja,18.0,Female,Quetta,Premium,2557.51,48,69,1,15.0,2026-03-31,1.3,1
172,CUST0172,Uzma Sheikh,57.0,Female,Rawalpindi,Basic,493.93,60,78,2,16.0,2026-05-04,4.0,0
173,CUST0173,Rabia Khan,46.0,Female,Sukkur,Standard,1069.83,55,92,1,26.0,2026-05-29,4.4,0
174,CUST0174,Adnan Rana,25.0,Male,Sukkur,Enterprise,2790.85,8,7,1,13.0,2026-03-08,2.8,1
175,CUST0175,Adnan Mirza,49.0,Male,Rawalpindi,Standard,1477.7,8,13,5,6.0,2026-06-01,3.6,0
176,CUST0176,Hassan Ahmed,,Male,Faisalabad,Premium,,11,17,0,1.0,2026-04-23,4.2,1
177,CUST0177,Hina Ali,46.0,Female,Larkana,Basic,542.72,21,30,1,13.0,2026-04-14,4.9,0
178,CUST0178,Zubair Malik,38.0,Male,Sargodha,Standard,1262.48,44,64,2,22.0,2026-05-18,4.6,0
179,CUST0179,Maria Raja,31.0,Female,Larkana,Premium,1892.77,2,2,0,24.0,2026-05-20,4.9,0
180,CUST0180,Iqra Sheikh,33.0,Female,Quetta,Enterprise,4286.25,6,9,3,,2026-05-27,3.1,0
181,CUST0181,Omer Javed,18.0,Male,Multan,Basic,464.5,41,57,5,4.0,2026-05-09,2.4,1
182,CUST0182,Asma Sheikh,37.0,Female,Quetta,Basic,381.97,14,20,1,13.0,2026-05-23,3.0,0
183,CUST0183,Lubna Baig,35.0,Female,Sukkur,Standard,1318.55,7,11,3,22.0,2026-05-03,5.0,0
184,CUST0184,Asad Khan,29.0,Male,Sialkot,Premium,1862.08,1,2,5,12.0,2026-04-15,3.8,0
185,CUST0185,Usman Hashmi,42.0,Male,Larkana,Premium,2315.19,51,66,4,8.0,2026-04-19,2.8,0
186,CUST0186,Bilal Ahmed,37.0,Male,Karachi,Basic,258.03,12,19,6,23.0,2026-03-26,3.3,1
187,CUST0187,Kamran Javed,42.0,Male,Islamabad,Basic,205.96,17,35,4,8.0,2026-04-14,2.1,1
188,CUST0188,Lubna Malik,24.0,Female,Larkana,Standard,1035.85,56,89,1,20.0,2026-04-22,4.0,0
189,CUST0189,Rida Ansari,40.0,Female,Faisalabad,Basic,440.62,26,42,2,9.0,2026-05-17,3.5,0
190,CUST0190,Farida Hussain,26.0,Female,Sukkur,Basic,485.55,7,6,1,15.0,2026-05-22,4.1,0
191,CUST0191,Asma Mirza,35.0,Female,Karachi,Basic,418.29,28,46,0,3.0,2026-05-25,2.7,1
192,CUST0192,Waqar Ali,45.0,Male,Gujranwala,Basic,437.01,47,68,2,15.0,2026-05-05,3.5,0
193,CUST0193,Ali Siddiqui,51.0,Male,Rawalpindi,Enterprise,3691.18,2,5,2,18.0,2026-05-08,4.0,0
194,CUST0194,Usman Javed,21.0,Male,Rawalpindi,Standard,1215.66,26,35,1,11.0,2026-04-21,3.7,0
195,CUST0195,Faraz Malik,27.0,Male,Sargodha,Enterprise,5015.38,5,3,2,13.0,2026-05-23,2.7,1
196,CUST0196,Bilal Javed,29.0,Male,Faisalabad,Premium,2937.19,28,51,3,14.0,2026-05-18,5.0,0
197,CUST0197,Bilal Khan,52.0,Male,Multan,Premium,2963.11,1,0,6,16.0,2026-05-02,3.2,1
198,CUST0198,Fatima Butt,33.0,Female,Faisalabad,Basic,454.98,56,84,1,5.0,2026-05-31,,0
199,CUST0199,Usman Rana,29.0,Male,Quetta,Premium,3226.23,31,55,3,21.0,2026-05-22,5.0,0
200,CUST0200,Waqar Bhatti,39.0,Male,Rawalpindi,Enterprise,4097.95,24,33,2,12.0,2026-05-19,4.1,0
201,CUST0201,Farida Khan,18.0,Female,Karachi,Enterprise,5119.02,32,45,0,13.0,2026-05-17,1.0,0
202,CUST0202,Zara Rana,,Female,Bahawalpur,Enterprise,5784.6,1,3,3,13.0,2026-05-23,3.7,1
203,CUST0203,Faraz Nawaz,36.0,Male,Islamabad,Basic,654.9,7,9,4,16.0,2026-04-17,3.7,0
204,CUST0204,Saba Nawaz,18.0,Female,Hyderabad,Basic,406.37,6,6,6,6.0,2026-05-26,2.9,0
205,CUST0205,Zara Sheikh,39.0,Female,Sukkur,Standard,961.4,27,42,3,9.0,2026-03-19,2.2,0
206,CUST0206,Junaid Hashmi,31.0,Male,Larkana,Basic,316.43,39,63,1,9.0,2026-05-28,,0
207,CUST0207,Saba Ansari,35.0,Female,Bahawalpur,Basic,558.46,4,6,1,13.0,2026-05-25,2.3,1
208,CUST0208,Noor Malik,29.0,Female,Gujranwala,Enterprise,5588.55,58,80,1,16.0,2026-05-26,3.5,0
209,CUST0209,Usman Ansari,40.0,Male,Lahore,Premium,2509.57,25,30,2,8.0,2026-05-08,4.0,0
210,CUST0210,Shahid Ahmed,34.0,Male,Sialkot,Enterprise,6562.26,1,0,2,6.0,2026-05-21,4.1,0
211,CUST0211,Junaid Mirza,40.0,Male,Sukkur,Standard,1371.38,1,1,2,9.0,2026-03-18,1.9,1
212,CUST0212,Imran Nawaz,27.0,Male,Faisalabad,Basic,632.13,8,20,2,1.0,2026-04-30,4.4,0
213,CUST0213,Bilal Rana,26.0,Male,Rawalpindi,Premium,2201.15,45,55,1,12.0,2026-03-03,4.2,0
214,CUST0214,Zara Raja,18.0,Female,Sialkot,Basic,698.34,15,23,1,13.0,2026-04-17,4.4,0
215,CUST0215,Adnan Raja,30.0,Male,Karachi,Basic,152.86,4,5,0,15.0,2026-05-17,4.2,0
216,CUST0216,Iqra Mirza,40.0,Female,Karachi,Basic,,7,12,1,15.0,2026-05-23,4.6,1
217,CUST0217,Sana Malik,28.0,Female,Bahawalpur,Standard,1180.43,2,1,2,7.0,2026-05-25,2.4,1
218,CUST0218,Omer Ansari,49.0,Male,Quetta,Basic,582.06,33,48,3,20.0,2026-04-13,3.2,0
219,CUST0219,Lubna Nawaz,52.0,Female,Lahore,Premium,1639.95,19,19,1,17.0,2026-03-02,4.9,1
220,CUST0220,Usman Raja,18.0,Male,Quetta,Standard,1390.3,22,38,2,22.0,2026-05-14,4.5,0
221,CUST0221,Mehwish Raja,37.0,Female,Rawalpindi,Premium,2748.87,23,42,2,18.0,2026-04-24,4.3,0
222,CUST0222,Zara Qureshi,42.0,Female,Gujranwala,Standard,1221.11,12,16,3,4.0,2026-04-26,3.1,0
223,CUST0223,Ayesha Hussain,37.0,Female,Peshawar,Enterprise,6319.64,60,69,2,16.0,2026-05-17,4.9,0
224,CUST0224,Imran Chaudhry,29.0,Male,Sargodha,Basic,413.72,6,10,2,23.0,2026-05-20,2.0,1
225,CUST0225,Zara Khan,27.0,Female,Quetta,Premium,3266.86,1,2,2,18.0,2026-05-02,3.3,1
